segment_id,road_name,time_of_day,day_of_week,weather,vehicle_density,congestion_score
7,Solapur Road,19,4,clear,72,0.6462
3,Karve Road,22,2,clear,35,0.2939
6,Nagar Road,20,1,rain,94,0.9646
5,Mumbai-Bangalore Highway,0,3,rain,16,0.1818
15,NIBM Road,9,3,fog,74,0.7812
3,Karve Road,11,6,fog,4,0.1125
9,Airport Road,6,1,fog,43,0.4344
5,Mumbai-Bangalore Highway,1,3,clear,11,0.1575
3,Karve Road,13,0,clear,47,0.4224
6,Nagar Road,9,3,clear,77,0.7027
14,Sinhagad Road,3,5,rain,12,0.1236
9,Airport Road,7,4,clear,47,0.3842
9,Airport Road,12,0,clear,52,0.4373
8,Satara Road,0,3,clear,15,0.155
3,Karve Road,0,2,clear,11,0.163
9,Airport Road,7,3,clear,45,0.3704
5,Mumbai-Bangalore Highway,2,3,rain,7,0.1281
14,Sinhagad Road,2,0,rain,18,0.2161
15,NIBM Road,9,3,clear,91,0.7248
4,Paud Road,4,6,rain,12,0.1441
7,Solapur Road,18,5,fog,45,0.4759
4,Paud Road,10,1,clear,84,0.6608
9,Airport Road,19,4,fog,70,0.7668
5,Mumbai-Bangalore Highway,0,2,clear,19,0.1473
8,Satara Road,8,3,clear,71,0.617
1,FC Road,4,0,fog,21,0.227
7,Solapur Road,4,0,rain,6,0.1412
6,Nagar Road,22,3,clear,38,0.2957
8,Satara Road,4,3,fog,15,0.2072
9,Airport Road,5,4,fog,8,0.1215
3,Karve Road,19,6,clear,63,0.4936
8,Satara Road,0,2,clear,22,0.2202
3,Karve Road,6,3,clear,45,0.3731
2,Tilak Road,0,5,fog,5,0.0939
9,Airport Road,2,2,rain,7,0.1605
1,FC Road,23,3,clear,22,0.2399
14,Sinhagad Road,2,5,fog,14,0.1423
6,Nagar Road,2,4,clear,5,0.0928
4,Paud Road,23,6,rain,9,0.1622
6,Nagar Road,22,5,clear,13,0.1554
8,Satara Road,1,4,clear,19,0.1575
13,Old Mumbai Highway,15,2,clear,21,0.1908
14,Sinhagad Road,13,4,fog,67,0.5872
1,FC Road,13,4,clear,67,0.511
5,Mumbai-Bangalore Highway,22,0,clear,32,0.2903
10,University Road,2,5,clear,12,0.1128
11,Hinjewadi Road,9,1,clear,99,0.7844
7,Solapur Road,9,6,clear,54,0.4298
7,Solapur Road,3,4,clear,12,0.1634
12,Aundh-Ravet Road,18,6,clear,63,0.4839
6,Nagar Road,18,0,clear,86,0.7024
4,Paud Road,9,5,clear,62,0.4964
12,Aundh-Ravet Road,11,4,clear,10,0.1184
15,NIBM Road,2,6,clear,13,0.1358
14,Sinhagad Road,18,0,clear,83,0.6807
5,Mumbai-Bangalore Highway,20,5,rain,47,0.5501
10,University Road,0,6,clear,13,0.1401
1,FC Road,15,4,rain,9,0.1618
12,Aundh-Ravet Road,15,2,rain,18,0.1756
14,Sinhagad Road,13,5,rain,33,0.3628
5,Mumbai-Bangalore Highway,6,3,clear,34,0.3197
5,Mumbai-Bangalore Highway,3,1,clear,14,0.1551
1,FC Road,23,4,rain,30,0.3222
1,FC Road,19,3,clear,97,0.7684
5,Mumbai-Bangalore Highway,11,2,rain,12,0.1827
13,Old Mumbai Highway,11,6,clear,14,0.1238
10,University Road,7,4,rain,31,0.3834
10,University Road,20,1,rain,93,0.954
13,Old Mumbai Highway,3,1,clear,7,0.1318
2,Tilak Road,16,6,clear,5,0.0925
7,Solapur Road,2,0,clear,21,0.1985
6,Nagar Road,12,2,clear,43,0.3893
12,Aundh-Ravet Road,8,6,fog,58,0.5762
15,NIBM Road,15,4,clear,16,0.1621
4,Paud Road,20,6,rain,50,0.5796
7,Solapur Road,10,2,clear,71,0.6645
1,FC Road,5,6,clear,7,0.1051
10,University Road,1,4,clear,10,0.1432
1,FC Road,21,3,clear,21,0.2467
6,Nagar Road,18,4,clear,91,0.7159
14,Sinhagad Road,2,4,clear,24,0.163
